,From,To,Weight
0,Hao Chen,Hao Miao,1
1,Hao Chen,Senzhang Wang,2
2,Hao Chen,Zhiqiu Huang,1
3,Hao Miao,Senzhang Wang,1
4,Hao Miao,Zhiqiu Huang,1
5,Senzhang Wang,Zhiqiu Huang,1
6,Eduardo Cunha de Almeida,Eduardo H. M. Pena,2
7,Eduardo Cunha de Almeida,Fabiola Santore,1
8,Eduardo Cunha de Almeida,Luiz Eduardo S. de Oliveira,1
9,Eduardo Cunha de Almeida,Wagner Hugo Bonat,1
10,Eduardo H. M. Pena,Fabiola Santore,1
11,Eduardo H. M. Pena,Luiz Eduardo S. de Oliveira,1
12,Eduardo H. M. Pena,Wagner Hugo Bonat,1
13,Fabiola Santore,Luiz Eduardo S. de Oliveira,1
14,Fabiola Santore,Wagner Hugo Bonat,1
15,Luiz Eduardo S. de Oliveira,Wagner Hugo Bonat,1
16,Chuheng Zhang,Qiang Ni,1
17,Chuheng Zhang,Wanchun Dou,1
18,Chuheng Zhang,Wei Shen 0005,1
19,Chuheng Zhang,Xiaonan He,1
20,Chuheng Zhang,Yan Wang,1
21,Qiang Ni,Wanchun Dou,1
22,Qiang Ni,Wei Shen 0005,1
23,Qiang Ni,Xiaonan He,1
24,Qiang Ni,Yan Wang,1
25,Wanchun Dou,Wei Shen 0005,1
26,Wanchun Dou,Xiaonan He,1
27,Wanchun Dou,Yan Wang,1
28,Wei Shen 0005,Xiaonan He,1
29,Wei Shen 0005,Yan Wang,1
30,Xiaonan He,Yan Wang,1
31,Kenny Q. Zhu,Libin Shen,2
32,Kenny Q. Zhu,Qianzi Liao,1
33,Kenny Q. Zhu,Shanshan Huang,1
34,Kenny Q. Zhu,Yinggong Zhao,2
35,Libin Shen,Qianzi Liao,1
36,Libin Shen,Shanshan Huang,1
37,Libin Shen,Yinggong Zhao,2
38,Qianzi Liao,Shanshan Huang,1
39,Qianzi Liao,Yinggong Zhao,1
40,Shanshan Huang,Yinggong Zhao,1
41,Jean Louis Pépin,Jose F. Rodrigues,1
42,Jean Louis Pépin,Lorraine Goeuriot,1
43,Jean Louis Pépin,Sihem Amer-Yahia,1
44,Jose F. Rodrigues,Lorraine Goeuriot,1
45,Jose F. Rodrigues,Sihem Amer-Yahia,1
46,Lorraine Goeuriot,Sihem Amer-Yahia,1
47,Binxing Fang,Tian Tian,1
48,Binxing Fang,Xi Zhang,1
49,Binxing Fang,Xiaoyu Yang,1
50,Binxing Fang,Yudong Liu,1
51,Binxing Fang,Yuefei Lyu,1
52,Tian Tian,Xi Zhang,1
53,Tian Tian,Xiaoyu Yang,1
54,Tian Tian,Yudong Liu,1
55,Tian Tian,Yuefei Lyu,1
56,Xi Zhang,Xiaoyu Yang,1
57,Xi Zhang,Yudong Liu,1
58,Xi Zhang,Yuefei Lyu,1
59,Xiaoyu Yang,Yudong Liu,1
60,Xiaoyu Yang,Yuefei Lyu,1
61,Yudong Liu,Yuefei Lyu,1
62,Ebrahim Bagheri,Fattane Zarrinkalam,3
63,Ebrahim Bagheri,Huan Liu 0001,1
64,Ebrahim Bagheri,Kai Shu,1
65,Fattane Zarrinkalam,Huan Liu 0001,1
66,Fattane Zarrinkalam,Kai Shu,1
67,Huan Liu 0001,Kai Shu,5
68,Depeng Jin,Jianbo Yang,1
69,Depeng Jin,Jingtao Ding,1
70,Depeng Jin,Xing Zhou,1
71,Depeng Jin,Yong Li 0008,1
72,Depeng Jin,Yuhan Quan,1
73,Jianbo Yang,Jingtao Ding,1
74,Jianbo Yang,Xing Zhou,1
